epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,232.169,0.72748,1.01893,2.40194,1.12337,0.01336,1,0.54117,0.50423,0.01336,1,0.54334,0.43203,0.43396,1.10954,3.51076,0.94266,0.00013532,0.00013532,0.00013532
32,239.589,0.60156,0.9297,2.14438,1.14595,0.01336,1,0.54117,0.50423,0.01336,1,0.54334,0.43203,0.43396,1.10954,3.51076,0.94266,0.000133011,0.000133011,0.000133011
33,246.891,0.65844,0.84948,2.02562,1.09931,0.01275,1,0.57115,0.54007,0.01275,1,0.57506,0.46608,0.41794,1.05645,3.45464,0.91999,0.000130263,0.000130263,0.000130263
34,254.096,0.53765,0.65819,1.81159,1.05163,0.01275,1,0.57115,0.54007,0.01275,1,0.57506,0.46608,0.41794,1.05645,3.45464,0.91999,0.000127074,0.000127074,0.000127074
35,261.381,0.78458,1.49916,2.23336,1.08897,0.01174,1,0.59762,0.5401,0.01174,1,0.59762,0.48787,0.39658,1.02616,3.37144,0.90278,0.000123445,0.000123445,0.000123445
36,268.534,0.69231,1.37534,2.21996,1.21668,0.01174,1,0.59762,0.5401,0.01174,1,0.59762,0.48787,0.39658,1.02616,3.37144,0.90278,0.000119377,0.000119377,0.000119377
37,275.791,0.65255,1.02585,1.93356,1.16179,0.01129,1,0.60074,0.54242,0.01129,1,0.60074,0.48362,0.37627,0.92634,3.28932,0.88399,0.000114869,0.000114869,0.000114869
38,283.014,0.58081,1.07113,1.99808,1.05467,0.01129,1,0.60074,0.54242,0.01129,1,0.60074,0.48362,0.37627,0.92634,3.28932,0.88399,0.00010992,0.00010992,0.00010992
39,290.406,0.57375,0.96932,1.91923,1.03329,0.39297,0.95,0.62958,0.57275,0.39297,0.95,0.62958,0.53866,0.37525,0.82372,3.20368,0.8842,0.000104532,0.000104532,0.000104532
40,297.456,0.63098,1.25003,1.84633,1.13844,0.39297,0.95,0.62958,0.57275,0.39297,0.95,0.62958,0.53866,0.37525,0.82372,3.20368,0.8842,9.87035e-05,9.87035e-05,9.87035e-05
